Chr	Start	End 	Value
1 0 1000000 1714
1 1000000 2000000 1764
1 2000000 3000000 1654
1 3000000 4000000 2755
1 4000000 5000000 1926
1 5000000 6000000 2245
1 6000000 7000000 2062
1 7000000 8000000 1494
1 8000000 9000000 2968
1 9000000 10000000 4296
1 10000000 11000000 2552
1 11000000 12000000 2023
1 12000000 13000000 2516
1 13000000 14000000 2854
1 14000000 15000000 1817
1 15000000 16000000 1632
1 16000000 17000000 2649
1 17000000 18000000 2597
1 18000000 19000000 2048
1 19000000 20000000 1720
1 20000000 21000000 2651
1 21000000 22000000 3085
1 22000000 23000000 2408
1 23000000 24000000 2819
1 24000000 25000000 3438
1 25000000 26000000 3057
1 26000000 27000000 1749
1 27000000 28000000 3401
1 28000000 29000000 2680
1 29000000 30000000 2032
1 30000000 31000000 2855
1 31000000 32000000 2824
1 32000000 33000000 3962
1 33000000 34000000 1852
1 34000000 35000000 2543
1 35000000 36000000 2438
1 36000000 37000000 3939
1 37000000 38000000 3880
1 38000000 39000000 2343
1 39000000 40000000 2851
1 40000000 41000000 2688
1 41000000 42000000 2111
1 42000000 43000000 1897
1 43000000 44000000 2381
1 44000000 45000000 4201
1 45000000 46000000 3549
1 46000000 47000000 3665
1 47000000 48000000 4185
1 48000000 49000000 4577
1 49000000 50000000 3226
1 50000000 51000000 3693
1 51000000 52000000 2806
1 52000000 53000000 3645
1 53000000 54000000 3520
1 54000000 55000000 4009
1 55000000 56000000 3359
1 56000000 57000000 3770
1 57000000 58000000 4243
1 58000000 59000000 3309
1 59000000 60000000 3151
1 60000000 61000000 3790
1 61000000 62000000 4132
1 62000000 63000000 3918
1 63000000 64000000 4191
1 64000000 65000000 3525
1 65000000 66000000 2691
1 66000000 67000000 3543
1 67000000 68000000 3877
1 68000000 69000000 4178
1 69000000 70000000 3512
1 70000000 71000000 4302
1 71000000 72000000 3171
1 72000000 73000000 3588
1 73000000 74000000 4165
1 74000000 75000000 2662
1 75000000 76000000 2820
1 76000000 77000000 6024
1 77000000 78000000 4095
1 78000000 79000000 2992
1 79000000 80000000 3552
1 80000000 81000000 3118
1 81000000 82000000 3213
1 82000000 83000000 3829
1 83000000 84000000 3196
1 84000000 85000000 2600
1 85000000 86000000 3003
1 86000000 87000000 4324
1 87000000 88000000 5134
1 88000000 89000000 3977
1 89000000 90000000 5213
1 90000000 91000000 4026
1 91000000 92000000 4049
1 92000000 93000000 3341
1 93000000 94000000 4383
1 94000000 95000000 4685
1 95000000 96000000 4056
1 96000000 97000000 2721
1 97000000 98000000 3493
1 98000000 99000000 2271
1 99000000 100000000 2503
1 100000000 101000000 2884
1 101000000 102000000 2469
1 102000000 103000000 2331
1 103000000 104000000 2768
1 104000000 105000000 3788
1 105000000 106000000 3752
1 106000000 107000000 3932
1 107000000 108000000 4109
1 108000000 109000000 3513
1 109000000 110000000 7743
1 110000000 111000000 3388
1 111000000 112000000 2082
1 112000000 113000000 1692
1 113000000 114000000 3181
1 114000000 115000000 4398
1 115000000 116000000 2296
1 116000000 117000000 1313
1 117000000 118000000 1441
1 118000000 119000000 3365
1 119000000 120000000 4490
1 120000000 121000000 3652
1 121000000 122000000 1811
1 122000000 123000000 2509
1 123000000 124000000 2163
1 124000000 125000000 2053
1 125000000 126000000 2410
1 126000000 127000000 4608
1 127000000 128000000 5625
1 128000000 129000000 5345
1 129000000 130000000 4991
1 130000000 131000000 4854
1 131000000 132000000 4942
1 132000000 133000000 4086
1 133000000 134000000 3417
1 134000000 135000000 5746
1 135000000 136000000 4456
1 136000000 137000000 3446
1 137000000 138000000 3391
1 138000000 139000000 3778
1 139000000 140000000 3620
1 140000000 141000000 3604
1 141000000 142000000 3145
1 142000000 143000000 3705
1 143000000 144000000 2891
1 144000000 145000000 3220
1 145000000 146000000 3396
1 146000000 147000000 4511
1 147000000 148000000 3156
1 148000000 149000000 3046
1 149000000 150000000 3472
1 150000000 151000000 2866
1 151000000 152000000 3970
1 152000000 153000000 3430
1 153000000 154000000 2606
1 154000000 155000000 4325
1 155000000 156000000 3622
1 156000000 157000000 3315
1 157000000 158000000 3602
1 158000000 159000000 3650
1 159000000 160000000 4063
1 160000000 161000000 3928
1 161000000 162000000 3477
1 162000000 163000000 4016
1 163000000 164000000 4106
1 164000000 165000000 4489
1 165000000 166000000 3311
1 166000000 167000000 3652
1 167000000 168000000 3330
1 168000000 169000000 4036
1 169000000 170000000 3148
1 170000000 171000000 3831
1 171000000 172000000 4174
1 172000000 173000000 2873
1 173000000 174000000 2434
1 174000000 175000000 2881
1 175000000 176000000 3156
1 176000000 177000000 3663
1 177000000 178000000 2763
1 178000000 179000000 3254
1 179000000 180000000 2893
1 180000000 181000000 3027
1 181000000 182000000 3346
1 182000000 183000000 4041
1 183000000 184000000 3858
1 184000000 185000000 4643
1 185000000 186000000 3963
1 186000000 187000000 3225
1 187000000 188000000 4401
1 188000000 189000000 2911
1 189000000 190000000 3928
1 190000000 191000000 3353
1 191000000 192000000 4042
1 192000000 193000000 3913
1 193000000 194000000 4705
1 194000000 195000000 5064
1 195000000 196000000 3592
1 196000000 197000000 3718
1 197000000 198000000 3954
1 198000000 199000000 4284
1 199000000 200000000 3475
1 200000000 201000000 4719
1 201000000 202000000 3555
1 202000000 203000000 5445
1 203000000 204000000 2928
1 204000000 205000000 4112
1 205000000 206000000 4609
1 206000000 207000000 6616
1 207000000 208000000 5548
1 208000000 209000000 2967
1 209000000 210000000 1229
1 210000000 211000000 1317
1 211000000 212000000 1506
1 212000000 213000000 1636
1 213000000 213194295 640
2 0 1000000 15693
2 1000000 2000000 8437
2 2000000 3000000 1325
2 3000000 4000000 1980
2 4000000 5000000 4035
2 5000000 6000000 5436
2 6000000 7000000 2316
2 7000000 8000000 1972
2 8000000 9000000 3563
2 9000000 10000000 3127
2 10000000 11000000 3889
2 11000000 12000000 2820
2 12000000 13000000 2114
2 13000000 14000000 2785
2 14000000 15000000 2586
2 15000000 16000000 2208
2 16000000 17000000 2735
2 17000000 18000000 4026
2 18000000 19000000 4385
2 19000000 20000000 4285
2 20000000 21000000 4822
2 21000000 22000000 4493
2 22000000 23000000 5151
2 23000000 24000000 3342
2 24000000 25000000 5247
2 25000000 26000000 3726
2 26000000 27000000 3193
2 27000000 28000000 2356
2 28000000 29000000 3096
2 29000000 30000000 1945
2 30000000 31000000 3328
2 31000000 32000000 2969
2 32000000 33000000 3243
2 33000000 34000000 3390
2 34000000 35000000 2190
2 35000000 36000000 2287
2 36000000 37000000 2088
2 37000000 38000000 2639
2 38000000 39000000 2215
2 39000000 40000000 3027
2 40000000 41000000 4176
2 41000000 42000000 2934
2 42000000 43000000 3014
2 43000000 44000000 3829
2 44000000 45000000 3384
2 45000000 46000000 3530
2 46000000 47000000 3760
2 47000000 48000000 3492
2 48000000 49000000 3572
2 49000000 50000000 3700
2 50000000 51000000 4069
2 51000000 52000000 3468
2 52000000 53000000 3633
2 53000000 54000000 4743
2 54000000 55000000 3839
2 55000000 56000000 4277
2 56000000 57000000 4183
2 57000000 58000000 4140
2 58000000 59000000 3919
2 59000000 60000000 5026
2 60000000 61000000 3675
2 61000000 62000000 3556
2 62000000 63000000 4177
2 63000000 64000000 3370
2 64000000 65000000 1900
2 65000000 66000000 2786
2 66000000 67000000 2921
2 67000000 68000000 3738
2 68000000 69000000 1843
2 69000000 70000000 2704
2 70000000 71000000 3448
2 71000000 72000000 3806
2 72000000 73000000 3161
2 73000000 74000000 3463
2 74000000 75000000 3920
2 75000000 76000000 3342
2 76000000 77000000 4034
2 77000000 78000000 2025
2 78000000 79000000 2314
2 79000000 80000000 4207
2 80000000 81000000 2481
2 81000000 82000000 5512
2 82000000 83000000 4299
2 83000000 84000000 3503
2 84000000 85000000 3010
2 85000000 86000000 3376
2 86000000 87000000 2747
2 87000000 88000000 3760
2 88000000 89000000 3748
2 89000000 90000000 2237
2 90000000 91000000 2085
2 91000000 92000000 1627
2 92000000 93000000 1631
2 93000000 94000000 2301
2 94000000 95000000 3641
2 95000000 96000000 4548
2 96000000 97000000 2831
2 97000000 98000000 3421
2 98000000 99000000 3479
2 99000000 100000000 2653
2 100000000 101000000 3348
2 101000000 102000000 3605
2 102000000 103000000 5220
2 103000000 104000000 3227
2 104000000 105000000 3203
2 105000000 106000000 3410
2 106000000 107000000 2547
2 107000000 108000000 3207
2 108000000 109000000 2132
2 109000000 110000000 3078
2 110000000 111000000 3261
2 111000000 112000000 2311
2 112000000 113000000 2405
2 113000000 114000000 2273
2 114000000 115000000 2612
2 115000000 116000000 3392
2 116000000 117000000 2914
2 117000000 118000000 4267
2 118000000 119000000 2723
